AT1G06580.1	Q9SHK2
AT1G05930.1	Q9MA32
AT1G32030.1	Q9C6X0
AT3G24850.1	Q9LRX6
AT3G49610.1	Q9SCJ8
AT5G24050.1	A0A178UBN6,Q9FLV7
AT5G38490.1	Q9FFX2
AT5G38500.1	Q9FFX1
AT1G70250.1	A0A654EMP1,F4I5D4
AT4G18250.1	F4JQT1
AT5G38280.1	Q9FF29
AT1G46408.1	Q9C633,A0A654EGY2
AT5G04640.1	Q9LZ61,A0A178UP04
AT5G38620.1	Q9FFV9
AT5G49420.1	Q7X9H5
AT5G49490.1	Q9FGZ5
AT1G10940.2	F4I7B6
AT1G60940.1	Q9C958
AT1G78290.2	Q9M9E9,A0A178W6S8
AT2G23030.1	O64812,A0A178VSC8
AT5G08590.1	P43292,A0A178UA36
AT5G63650.1	Q9FFP9,A0A654GDP2
AT1G29420.1	Q6NMM0
AT1G29430.1	Q9C7Q8,A0A654EDU5
AT1G29440.1	F4I1H5
AT1G29450.1	Q0V7Z5
AT1G29460.1	Q0WPR6
AT1G29490.1	Q29Q96
AT1G29500.1	Q9C7Q1,A0A178WK30
AT1G29510.1	F4I1I4,A0A654EDW2
AT5G27780.1	A0A654G4Y2,Q3E901
AT1G56120.1	F4I3K0
AT1G56130.1	A0A2H1ZEE2
AT1G56140.1	C0LGH3-1
AT1G56145.2	F4I3K4
AT1G27540.1	Q9SXC7
AT1G27550.1	F4HSY5
AT1G27580.1	F4HSY9
AT2G14290.1	Q9ZQ60
AT2G14500.1	Q9ZQR2
AT2G24080.1	O82236
AT4G10820.1	Q9SN66
AT5G25290.1	A0A178URZ4,Q4PSE7
AT1G22340.1	Q9LME8,A0A654ECX1,W8Q7B8
AT1G22360.1	Q9ZWJ3-1
AT1G22370.2	Q9LMF0-1
AT1G22380.1	Q9LMF1,W8PW16
AT1G22400.1	Q9SK82,W8Q3R5
AT1G78270.1	Q9M9E7,A0A654EV58,W8PV43
AT1G66852.1	A0A178W9S5,B3H5T6
AT1G66855.1	Q2V4E5
AT1G66870.1	A0A178W6P1,Q9C9N9
AT4G09090.1	Q6NKV5
AT4G09462.1	Q1G387
AT4G09464.1	A0A654FML4,Q1G3J4
AT4G09465.1	Q1G3J2
AT4G09466.1	B3H4S7
AT4G09467.1	A0A654FML4,Q1G3J4
AT4G16165.1	Q6AWW2
AT5G53600.1	A0A178UL68,Q9FJC4
AT5G53610.1	A0A178UMD9,Q9FJC3
AT5G63225.1	A0A178UMD6,Q8GX54
AT5G63230.1	A0A178UBR4,A8MRV8
AT5G63240.1	A0A178UJE2,Q9FMJ9
AT5G63250.1	A0A178UQJ1,Q9FMJ8
AT1G19320.1	A0A654EBB0,Q9LN66
AT1G75030.1	A0A178W858,Q9C9P9
AT1G75040.1	P28493,A0A178WNL8
AT1G75050.1	A0A178WDH5,Q1PFD2
AT2G24810.1	Q9SK51
AT2G40500.1	O22885
AT2G40560.1	A0A178VYC4,O22879
AT2G40580.1	O22877
AT5G44900.1	A0A178UK64,Q6NPD9
AT5G45220.1	Q9FKE3
AT2G24645.1	Q8GYM4,A0A178VUI0
AT4G00260.1	O23076
AT4G31660.1	Q8H2D0
AT1G20320.1	A0A178W2R0,Q9LN24
AT2G02290.1	Q9ZVR2
AT2G04930.1	A0A178VS59,Q9SI33
AT3G17550.1	Q9LUP3
AT3G19600.1	F4JCB2
AT5G23470.1	Q9FHL1
AT5G54210.1	A0A178UJ30,Q9FL74
AT4G19570.1	A0A5S9XW05,Q84TH2
AT4G19580.1	F4JT89
AT4G19590.1	O49477
AT5G37440.1	Q9FG44
AT5G37750.1	F4K8L8
AT5G37760.1	F4K8L9
AT5G62780.1	F4K7T4
AT5G26950.1	Q7X9H9,A0A654G4Q2
AT5G27050.1	Q4PSE3
AT5G27070.1	Q7X9N2
AT5G27090.1	Q9S9U2
AT5G27580.1	Q7XJL1
AT5G27944.1	B3H5S0
AT1G29720.1	Q9ASQ6-1
AT1G29730.1	F4I336
AT1G29740.1	F4I337
AT1G17615.1	Q4PT31,A0A178WC89
AT1G72890.2	F4IF04
AT1G72900.1	Q9SSN6
AT1G72910.1	Q9SSN5
AT1G72920.1	Q9SSN4
AT1G72930.1	Q9SSN3-1
AT1G72940.1	Q9SSN2
AT1G72950.1	A0A5S9WTV7,Q9SSN1
AT2G36750.1	Q9ZQ99,A0A384LF39,W8Q3B6
AT2G36760.1	Q9ZQ98,W8Q6Y1
AT2G36770.1	Q9ZQ97,W8QNU5,A0A5S9X538
AT2G36780.1	Q9ZQ96,A0A5S9X4R7,W8PUY4
AT2G36790.1	Q9ZQ95,A0A654EZH4,W8PVK2
AT2G36800.1	Q9ZQ94,A0A654F0W6,W8Q3B1
AT2G02240.1	Q3E6P4
AT2G02250.1	Q9ZVR5
AT2G02310.1	A0A654ERB5,Q9ZVR0
AT2G02360.1	Q9ZVQ6
AT2G28950.1	Q38865,A0A178VZL6
AT2G37640.1	O80932,A0A178VPK3
AT2G39700.1	O48818,A0A178VRH0
AT3G55500.1	Q9M2S9,A0A7G2EUB2
AT1G47540.2	F4HTA0
AT2G43510.1	Q42328,A0A178VRC4
AT2G43520.1	O22866,A0A178W058
AT2G43535.1	Q8RYE7,A0A178VV23
AT1G04920.1	Q8RY24,A0A384K9Z9,W8PW44
AT4G10120.1	F4JLK2,W8QNH3
AT5G11110.1	Q9FY54,A0A654G0P2,W8QNB0
AT5G20280.1	Q94BT0,A0A384KD86,W8PUZ7
AT4G02235.1	O81421,A0A178UXV6
AT4G11250.1	A0A654FN72,Q9SUT6
AT5G37415.1	B3H4N9
AT5G38740.1	Q9FKR2,A0A654G753
AT5G39750.1	Q9FIX0
AT5G39810.1	Q9FIW6,A0A654G6F5
AT5G40070.1	A0A654G6P6,F4KFY2
AT5G40120.1	Q9FL19,A0A654G726
AT5G40220.1	Q9FL10
AT5G41200.1	Q9FLL0,A0A5S9YA43
AT5G65330.1	A0A654GEE0,Q9FKQ5
AT1G29080.1	Q9LP39
AT1G29090.1	A0A178W9Z1,Q84W75
AT1G29110.1	F4HZW2
AT2G34080.1	A0A654EYP4,O22961
AT2G42550.1	A0A178VVY4,Q9SIN4
AT5G12090.1	A0A178UGS5,Q9FMQ2
AT5G27510.1	A0A178UPR7,Q3E909
AT2G03560.1	Q9ZPS0
AT2G03580.1	Q9ZPR8
AT2G03610.1	A0A5S9WWV8,Q9ZPR5
AT2G04810.1	Q9SJ78
AT2G04830.1	A0A654ERY0,Q9SJ76
AT2G04840.1	Q9SJ75
AT2G33190.1	O49316
AT2G33200.1	O49315
AT5G38270.1	Q9FF30
AT1G47600.1	Q8GRX1-1
AT1G51470.1	Q3ECS3,A0A178W999
AT1G51490.1	A0A2H1ZED6
AT2G23510.1	O80467
AT2G25150.1	Q8GYW8,A0A654EVW9
AT1G14480.1	Q9M9R5
AT1G14500.1	A0A178WB98,Q9M9R3
AT5G46930.1	Q9FJR8
AT5G46940.1	Q9FJR7
AT5G46950.1	Q9FJR6
AT5G46960.1	Q9FJR5,A0A7G2FIQ1
AT5G46970.1	Q9FJR4
AT1G66960.1	Q9FZI2
AT1G78480.1	Q9M9G0
AT1G78950.1	B6EXY6,A0A178WBX1
AT1G78955.1	P0C8Y0
AT1G78960.1	Q8RWT0
AT1G78970.1	Q9C5M3,A0A5S9WVL5
AT2G14378.1	A0A178VRZ6,A8MQE4
AT2G27315.1	A0A654F1P4,Q3EBT3
AT4G35165.1	A0A178V2S9,Q5BPK0
AT5G52965.1	A0A5S9YEM9,Q3E709
AT5G52975.1	Q147K7
AT1G49200.1	Q94BY6,A0A178WPN3
AT1G49210.1	Q6NML0,A0A178W885
AT1G49220.1	P0C034,A0A178W5U7
AT3G18773.1	Q9LS99,A0A178VIT2
AT2G44630.1	O80502
AT2G44700.1	Q84RE1
AT4G02310.1	A0A178UYP3,O81414
AT3G57710.1	Q9SVY5,A0A384L127
AT3G57720.1	A0A384LH69,Q9SVY6
AT3G57730.1	Q8VZF4,A0A384L3L6
AT2G36110.1	A0A178VRY8,Q9SIH3
AT3G12410.1	A0A384KW45,Q9LHG7
AT3G12420.1	F4J9R7
AT3G12430.1	A0A384KQJ1,Q9C7A5
AT3G12440.1	A0A654F7R4,Q9LHG4
AT3G12460.1	A0A384KDI0,Q9LHG2
AT3G12470.1	Q9LHG1
AT1G43170.1	P17094-1,A0A178WDT7
AT1G61580.1	P22738
AT1G18760.1	A0A7G2DRN9,Q9M9U7
AT1G18770.1	A0A654ELT9,Q3ED97
AT3G13228.1	Q9LTU8
AT1G50310.1	Q9SX48,A0A178WN25
AT3G19930.1	Q39228,A0A178V5Z0
AT3G19940.1	Q9LT15,A0A178VHL3
AT5G23270.1	Q9FMX3
AT5G08350.1	A0A178UNS7,Q9FTA0
AT5G23350.1	A0A654G3L0,Q9FMW6
AT5G23360.1	A0A178UFJ7,Q9FMW5
AT5G23370.1	A0A178U882,Q9FMW4
AT1G11300.1	Q9SXB4,A0A178WMJ8
AT1G11330.2	Q9SXB8-1
AT1G11350.1	Q9LPZ9,A0A654E8R2
AT2G39310.1	O80950-1,A0A654F1K0
AT2G39330.1	O80948
AT3G16470.1	O04309-1
AT1G53930.1	Q9SYE9
AT2G36170.1	Q42202,B9DHA6,A0A178W3S3
AT3G52590.1	Q42202,B9DHA6,A0A178W3S3
AT4G03440.1	Q9ZT72
AT4G03450.1	Q9ZT73
AT4G03470.1	Q9M109
AT4G03480.1	F4JG86
AT4G05040.1	Q94A85
AT4G14390.1	F4JVF4
AT4G14400.1	Q8LPS2-1
AT1G10588.1	Q1G2Y4
AT2G14900.1	O82328,A0A178VLB4
AT2G39540.1	O80641,A0A5S9X5J0
AT5G59845.1	Q8LFM2,A0A178ULB2
AT3G09140.1	Q6DYD0
AT5G01120.1	Q9LFC4
AT5G01130.1	F4K7Y4
AT5G01140.1	Q9LFC2
AT5G01150.1	Q9LFC1
AT5G43240.1	F4K4N0
AT2G05710.1	Q9SIB9,A0A178VV24
AT4G26970.1	Q94A28,A0A178UVE5
AT4G35830.1	Q42560-1,A0A178V2T4
AT1G07450.1	Q8RX32
AT2G29150.1	Q9ZW03
AT2G29290.2	Q9ZW13-1,A0A178VX70
AT2G29350.1	Q9ZW18-1,A0A178VTS8
AT2G29360.1	Q9ZW19,A0A5S9X294
AT2G29370.1	Q9ZW20,A0A178VVH1
AT3G45920.1	A0A654FI83,Q9LZT8
AT3G46410.1	Q7FK55
AT3G44710.1	Q9M1N3
AT3G47200.1	Q9SD53
AT3G47210.1	Q9SD52
AT3G47250.1	Q9SD48
AT5G22540.1	Q9FK85
AT5G22550.2	Q9FK84
AT5G22560.1	Q9FK83
AT1G54980.1	A0A178WFQ9,Q9FZ34
AT5G50030.1	A0A178U9R0,Q9FGA8
AT5G50040.1	A0A178UG46,Q9FGA7
AT5G50050.1	Q9FGA6
AT5G50060.1	A0A5S9YCN3,Q9FGA5
AT5G50070.1	Q9FGA4
AT2G26720.1	A0A5S9X1H4,O48787
AT2G31050.1	A0A178VW74,O82761
AT5G05860.1	Q9FIA0,W8QNB5
AT5G05870.1	Q9FI99,W8PUG4
AT5G05880.1	Q9FI98,A0A068FHS2,A0A654FYW3
AT5G05890.1	Q9FI97,A0A654FYN7,W8PV16
AT5G05900.1	Q9FI96,W8Q2V0
AT5G25120.1	P58049,A0A5S9Y709
AT5G25130.1	Q9ZU07,A0A654G3X5
AT5G25140.1	P58050
AT5G25180.1	P58051,A0A654G407
AT5G39110.1	Q9FID0,A0A654G6B1
AT5G39120.1	Q9FIC9,A0A654G6S0
AT5G39130.1	Q9FIC8,A0A654G797
AT5G39150.1	Q9FIC6,A0A654G6B6
AT5G39160.1	P92999-1
AT5G39180.1	Q9FL89
AT5G39190.1	P92996-1,A0A654G6F0
AT2G15880.1	Q9XIL9
AT3G19020.1	Q9LJ64,A0A178V723
AT4G33970.1	O81765-1
AT1G78640.1	A0A2H1ZEG8,A0A654EQ49
AT2G33720.1	A0A654EYJ2,O23659
AT1G09400.1	Q8GYA3
AT1G17990.1	P0DI08-1,P0DI09,A0A654EBL8
AT1G18020.1	P0DI08-1,P0DI09,A0A654EBL8
AT1G76680.2	F4I403
AT1G76690.1	Q8GYB8,A0A178W9S3
AT5G10530.1	Q9LXA5,A0A178UGN9
AT5G65600.1	Q9LSL5,A0A178UB11
AT2G42010.1	P93733
AT4G00240.1	O23078
AT4G11830.2	Q9T051-1
AT4G11840.1	Q9T052
AT4G11850.1	Q9T053
AT2G05060.1	Q9SI22
AT2G34290.1	A0A654EYQ6,O80778
AT2G41910.1	P93754
AT2G41920.1	P93753
AT5G27790.1	Q3E900
AT2G19760.1	Q42449,A0A5S9WZP5
AT4G29350.1	Q42418,A0A384LEY9
AT5G52750.1	Q9LTE2,A0A178UE39
AT5G52760.1	Q9LTE1,A0A178UID0
AT5G52770.1	Q9LTE0
AT2G24285.1	F4IPM1
AT2G24460.1	A0A178VN25,Q9ZQ22
AT2G24480.1	A0A178VZA2,Q9ZQ20
AT3G28620.1	A0A654FGS4,Q9LJJ3
AT3G42940.1	Q9M1L1
AT5G43200.1	Q9FHS5
AT1G07770.1	P42798,A0A178W5N5,A0A384KNV6
AT2G39590.1	O80646,A0A5S9X5G1
AT3G46040.1	Q9LX88,A0A178VIE3
AT5G59850.1	P42798,A0A178W5N5,A0A384KNV6
AT1G32300.1	Q9C614
AT2G46740.1	O81030,A0A178VXG4
AT2G46750.1	Q6NQ66
AT2G46760.1	O81032,A0A5S9X8D2
AT5G56490.1	Q9FM82
AT1G04270.1	Q08112-1,A0A178WE09
AT5G09490.1	Q9FY66,A0A384L6V7,Q1PDY1
AT5G09500.1	Q9FY65,Q0WSM9
AT5G09510.1	Q9FY64-1
AT5G43640.1	A0A654G855,Q9FIX6
AT2G21580.1	Q9SIK2-1,A0A178VWT5
AT4G34555.1	Q8GYL5,A0A178UZI1
AT4G39200.1	Q9T029-1,A0A178UWL1
AT2G14060.1	F4IFF4
AT3G21950.1	A0A654FAR6,Q9LRL5
AT5G38020.1	Q84MB1
AT3G02040.1	Q9SGA2,A0A654F3B3
AT5G41080.1	Q9FLM1-1,A0A654G6T9
AT5G43300.1	Q680A6
AT5G47550.1	Q41916
AT2G33070.3	O49326-2
AT3G16390.1	O04318,A0A5S9XD15
AT3G16400.1	Q9SDM9
AT3G16410.1	O04316
AT4G25740.1	Q9SW09-1,A0A5S9XW71
AT5G41520.1	Q9FFS8-1,A0A178UD67
AT5G52650.1	Q9LTF2,A0A178UA34
AT1G02780.1	Q9SRX2,A0A654E7A9
AT3G16780.1	A0A654F975,Q9LUQ6
AT4G02230.1	P49693,A0A178UUL5
AT1G65670.1	A0A654ELC4,Q1PFG4
AT3G30290.1	F4J5G3
AT4G15300.1	O23384
AT4G15393.2	A0A654FPJ5,A8MS53
AT4G15396.1	F4JK32
AT2G37800.1	A0A5S9X4W5,F4IRV7
AT2G37810.1	Q4PSR5
AT2G37820.1	A0A654F175,Q6NM27
AT3G14415.2	F4JFV6,A0A384L6X3
AT3G14420.1	Q9LRR9-1,A0A654FH32
AT4G18360.1	O49506-1
AT1G26770.2	F4HPC1
AT1G69530.3	C0Z241
